tconst	averageRating	numVotes
tt0001733	5.7	10
tt0001737	7.2	1333
tt0001738	6.9	17
tt0001740	6.5	882
tt0001741	4.5	10
tt0001742	5.7	6
tt0001747	4.6	9
tt0001753	6.2	5
tt0001762	4.7	49
tt0001769	5.8	17
tt0001771	5.4	103
tt0001772	5.6	8
tt0001776	6.9	132
tt0001779	7.0	9
tt0001789	6.3	179
tt0001790	6.0	20
tt0001817	5.3	61
tt0001832	6.1	22
tt0001840	5.1	17
tt0001845	5.0	6
tt0001848	4.2	22
tt0001852	4.1	7
tt0001856	4.7	23
tt0001857	5.7	169
tt0001862	5.3	23
tt0001865	6.8	16
tt0001871	4.6	26
tt0001872	7.1	19
tt0001877	5.3	36
tt0001889	4.5	8
tt0001892	6.2	154
tt0001896	5.1	34
tt0001910	5.1	34
tt0001911	4.8	6
tt0001913	5.6	150
tt0001915	6.3	66
tt0001923	7.4	14
tt0001925	5.4	9
tt0001928	4.6	30
tt0001941	5.0	48
tt0001949	6.0	14
tt0001956	6.1	7
tt0001957	5.2	36
tt0001963	5.6	86
tt0001964	6.3	42
tt0001967	5.9	8
tt0001973	6.2	201
tt0001978	6.1	10
tt0001987	6.8	9
tt0001993	4.6	10
tt0001998	4.6	12
tt0002020	5.2	75
tt0002029	6.1	30
tt0002031	5.1	8
tt0002033	5.7	23
tt0002034	4.7	11
tt0002041	4.2	13
tt0002045	4.3	64
tt0002054	5.7	100
tt0002056	6.8	75
tt0002064	4.8	26
tt0002065	6.3	30
tt0002066	3.8	45
tt0002068	5.4	13
tt0002070	4.8	20
tt0002078	5.1	21
tt0002082	6.3	276
tt0002083	6.1	155
tt0002093	5.0	10
tt0002095	5.3	10
tt0002097	4.5	10
tt0002098	6.0	103
tt0002101	5.1	376
tt0002107	5.1	8
tt0002113	7.0	660
tt0002121	4.8	14
tt0002122	6.2	213
tt0002124	5.1	275
tt0002126	6.4	35
tt0002130	7.1	1712
tt0002133	5.9	134
tt0002136	5.8	45
tt0002139	5.6	8
tt0002143	6.0	399
tt0002144	5.4	10
tt0002145	8.7	7
tt0002151	4.8	16
tt0002153	5.9	37
tt0002159	4.0	16
tt0002160	6.6	57
tt0002162	4.5	31
tt0002167	5.0	10
tt0002172	4.7	9
tt0002176	6.0	202
tt0002177	5.6	16
tt0002179	3.5	17
tt0002181	6.4	108
tt0002186	6.6	66
tt0002190	6.4	296
tt0002196	4.5	6
tt0002197	5.6	197
tt0002198	6.3	19
tt0002199	5.8	407
tt0002200	6.3	66
tt0002202	4.8	9
tt0002203	5.0	31
tt0002206	5.5	11
tt0002208	6.8	985
tt0002212	5.6	11
tt0002214	6.2	17
tt0002216	5.5	13
tt0002220	5.1	13
tt0002221	6.9	270
tt0002224	5.2	109
tt0002226	5.6	25
tt0002230	6.4	68
tt0002232	5.4	32
tt0002233	4.8	96
tt0002234	8.2	13
tt0002255	4.4	24
tt0002260	6.4	907
tt0002261	6.6	11
tt0002268	5.8	5
tt0002277	6.5	16
tt0002280	4.8	27
tt0002281	6.2	225
tt0002282	5.2	8
tt0002290	5.3	34
tt0002295	7.4	5
tt0002300	6.6	8
tt0002302	6.8	9
tt0002303	5.8	130
tt0002305	7.5	15
tt0002309	9.1	10
tt0002329	5.6	21
tt0002332	4.7	12
tt0002340	6.0	34
tt0002342	6.0	49
tt0002349	5.5	6
tt0002350	6.5	221
tt0002354	6.4	102
tt0002355	6.2	38
tt0002357	6.2	143
tt0002369	6.2	31
tt0002370	5.9	7
tt0002371	6.1	9
tt0002374	6.2	8
tt0002380	4.8	6
tt0002381	6.7	1714
tt0002386	6.2	111
tt0002387	4.5	19
tt0002391	6.5	650
tt0002392	5.4	5
tt0002398	5.4	27
tt0002399	3.9	7
tt0002400	5.7	185
tt0002402	7.7	6
tt0002405	5.1	16
tt0002406	4.7	10
tt0002408	6.3	236
tt0002409	6.8	8
tt0002415	6.0	438
tt0002421	5.9	88
tt0002423	6.9	645
tt0002429	6.3	134
tt0002434	9.0	5
tt0002437	9.0	7
tt0002440	3.6	11
tt0002441	6.0	12
tt0002443	4.2	5
tt0002445	6.3	213
tt0002449	6.2	39
tt0002451	8.2	8
tt0002452	6.8	180
tt0002461	5.6	200
tt0002465	5.8	17
tt0002473	6.9	51
tt0002475	7.3	57
tt0002477	6.5	6
tt0002478	5.2	16
tt0002484	5.5	46
tt0002497	6.3	53
tt0002501	4.4	20
tt0002504	5.0	32
tt0002505	4.8	9
tt0002512	6.4	297
tt0002514	6.6	7
tt0002515	5.4	5
tt0002521	5.6	15
tt0002523	5.6	67
tt0002528	4.9	29
tt0002529	4.4	5
tt0002531	6.0	6
tt0002532	6.0	68
tt0002533	5.3	48
tt0002535	4.6	24
tt0002536	5.7	31
tt0002538	4.7	7
tt0002542	5.9	10
tt0002544	6.3	134
tt0002545	7.4	7
tt0002546	6.9	11
tt0002547	5.8	5
tt0002550	5.3	22
tt0002553	6.7	632
tt0002555	5.3	23
tt0002556	5.8	13
tt0002562	4.9	7
tt0002569	5.4	172
tt0002574	6.9	7
tt0002576	4.7	28
tt0002582	8.8	10
tt0002588	6.8	10
tt0002592	7.3	12
tt0002601	5.1	21
tt0002603	5.4	14
tt0002605	6.9	8
tt0002610	5.1	94
tt0002621	5.2	59
tt0002628	5.8	55
tt0002639	6.2	122
tt0002646	6.7	279
tt0002656	5.8	12
tt0002658	4.1	28
tt0002659	5.4	635
tt0002663	6.1	293
tt0002669	6.4	18
tt0002687	7.7	9
tt0002702	5.0	13
tt0002718	4.1	10
tt0002719	5.7	60
tt0002726	4.8	5
tt0002736	6.9	7
tt0002745	4.0	11
tt0002753	5.3	6
tt0002755	4.5	19
tt0002759	6.3	13
tt0002761	4.4	9
tt0002767	5.6	32
tt0002784	5.1	27
tt0002795	6.1	423
tt0002797	5.5	6
tt0002801	5.4	14
tt0002813	5.3	178
tt0002815	4.1	10
tt0002816	5.9	73
